,0
TP53,0.03296041015079004
TTN,0.021981322296878963
KRAS,0.017929480393654114
EGFR,0.013565421449994999
MUC16,0.012607146601633305
CSMD3,0.009734733341966418
USH2A,0.006904390068869639
LRP1B,0.0051425728552451045
KEAP1,0.004882964288085165
NAV3,0.004417044423316403
XIRP2,0.0034140707794720667
BRAF,0.0033654457548000167
RYR1,0.003351095646877789
RYR2,0.0032572765715678143
NRXN1,0.0031516437352259855
FAT3,0.0029746928442441695
STK11,0.002686795348283082
ADAMTS12,0.002311729302308511
NF1,0.001993685426216795
GRM1,0.0014923981605258331
SPTA1,0.001478630353871488
SETD2,0.001108211455645721
MET,0.0007452702489321245
ERBB2,0.0003578505216214573
TENM2,0.0003178203334643623
DNAH9,0.00021720181317517735
PRAC1,0.0
PPT1,0.0
PPT2,0.0
PRAMEF5,0.0
